year,sample,serial,cbserial,hhwt,cluster,strata,gq,pernum,perwt,sex,age,marst,hispan,hispand,hcovpriv,hinscare,educ,educd,empstat,empstatd,inctot,incwage,incearn
2019,201901,280,2019010016484,16,2019000002801,200001,4,1,16,2,21,6,1,100,1,1,6,63,1,10,1600,1600,1600
2019,201901,586,2019010036028,70,2019000005861,120001,4,1,70,2,26,6,0,0,2,1,10,101,1,10,2500,2500,2500
2019,201901,1570,2019010099472,68,2019000015701,260001,3,1,68,1,32,6,0,0,1,1,6,64,3,30,49000,49000,49000
2019,201901,1605,2019010101319,3,2019000016051,200001,4,1,3,1,22,6,0,0,1,1,5,50,1,10,14500,14500,14500
2019,201901,2646,2019000018625,79,2019000026461,30101,1,1,80,2,31,6,0,0,2,1,10,101,1,10,70000,70000,70000
2019,201901,2701,2019000022731,39,2019000027011,270101,1,2,28,1,31,1,0,0,2,1,10,101,1,10,28000,28000,28000
2019,201901,2950,2019000040150,61,2019000029501,270101,1,3,165,1,35,6,0,0,1,1,6,63,1,10,930,930,930
2019,201901,3339,2019000067162,24,2019000033391,250001,1,4,58,2,34,1,0,0,2,1,7,71,1,10,46000,46000,46000
2019,201901,3370,2019000069130,88,2019000033701,20001,1,1,88,2,48,1,0,0,2,1,10,101,1,10,120000,120000,120000
2019,201901,3437,2019000073166,32,2019000034371,70001,1,1,32,1,52,4,0,0,2,1,7,71,1,10,29700,29700,29700
2019,201901,3457,2019000074470,116,2019000034571,130501,1,1,116,2,48,1,0,0,2,1,10,101,1,10,118000,118000,118000
2019,201901,3758,2019000095110,115,2019000037581,260001,1,2,122,2,55,1,0,0,2,1,11,114,1,10,10000,10000,10000
2019,201901,3805,2019000097827,17,2019000038051,250001,1,1,17,1,58,1,0,0,2,1,6,63,1,10,56000,56000,56000
2019,201901,3913,2019000105645,60,2019000039131,170001,1,1,61,1,45,1,0,0,2,1,11,114,1,10,90000,90000,90000
2019,201901,3947,2019000107631,65,2019000039471,120001,1,2,63,2,58,1,0,0,2,1,10,101,1,10,175000,175000,175000
2019,201901,4688,2019000158533,80,2019000046881,120001,1,2,88,1,55,1,0,0,2,1,10,101,1,10,112000,68000,68000
