host_id,host_since,host_response_time,host_is_superhost,host_listings_count,host_total_listings_count,neighbourhood_cleansed,room_type,bathrooms,accommodates,bedrooms,square_feet,price,number_of_reviews,has_availability,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
1565,2008-08-08,N/A,FALSE,1,1,Little Portugal,Entire home/apt,3,10,5,1400,469,7,TRUE,100,10,10,10,10,10,10
22795,2009-06-22,N/A,FALSE,2,2,Waterfront Communities-The Island,Private room,1.5,2,1,NA,99,169,TRUE,97,10,10,10,10,10,10
93825,2010-03-15,within an hour,TRUE,2,2,Briar Hill-Belgravia,Private room,1,3,1,NA,72,215,TRUE,95,10,10,10,10,9,10
113345,2010-04-25,within an hour,FALSE,7,7,Waterfront Communities-The Island,Entire home/apt,1,5,1,NA,199,38,TRUE,95,10,10,9,10,10,9
22795,2009-06-22,N/A,FALSE,2,2,Waterfront Communities-The Island,Entire home/apt,1.5,2,1,1050,133,1,TRUE,100,NA,NA,NA,NA,NA,NA
174063,2010-07-20,within an hour,TRUE,3,3,South Parkdale,Entire home/apt,1,5,2,NA,99,109,TRUE,93,9,9,10,10,9,9
183071,2010-07-28,within an hour,TRUE,2,2,Oakridge,Entire home/apt,1,2,0,300,69,82,TRUE,94,10,9,10,10,9,10
192364,2010-08-05,within a day,FALSE,1,1,Wexford/Maryvale,Entire home/apt,1,4,2,100,90,30,TRUE,99,10,10,10,10,10,10
195095,2010-08-08,within an hour,FALSE,13,13,Rosedale-Moore Park,Entire home/apt,1,4,1,NA,121,49,TRUE,80,9,8,9,10,10,8
195095,2010-08-08,within an hour,FALSE,13,13,Church-Yonge Corridor,Entire home/apt,1,3,0,NA,121,78,TRUE,83,9,8,9,9,10,8
195095,2010-08-08,within an hour,FALSE,13,13,Rosedale-Moore Park,Private room,1,2,1,900,105,9,TRUE,83,9,6,9,9,10,9
195095,2010-08-08,within an hour,FALSE,13,13,Rosedale-Moore Park,Private room,1,2,1,NA,105,18,TRUE,84,8,7,9,9,10,8
195095,2010-08-08,within an hour,FALSE,13,13,Church-Yonge Corridor,Entire home/apt,1,3,1,NA,121,55,TRUE,93,10,9,10,10,10,9
304551,2010-11-29,within a few hours,TRUE,6,6,Niagara,Private room,0.5,1,1,NA,65,22,TRUE,97,9,9,10,10,9,10
312769,2010-12-08,within an hour,FALSE,1,1,Moss Park,Entire home/apt,2.5,9,4,1485,350,103,TRUE,96,10,9,10,10,10,10
304551,2010-11-29,within a few hours,TRUE,6,6,Niagara,Private room,0.5,1,1,NA,65,16,TRUE,95,10,9,10,10,10,9
195095,2010-08-08,within an hour,FALSE,13,13,Rosedale-Moore Park,Entire home/apt,1,3,1,NA,121,46,TRUE,91,9,9,10,10,10,9
368707,2011-01-30,within an hour,TRUE,2,2,Dufferin Grove,Entire home/apt,1,2,1,NA,144,272,TRUE,97,10,10,10,10,10,10
431260,2011-03-08,within a day,FALSE,1,1,Niagara,Entire home/apt,1,2,1,NA,107,29,TRUE,96,9,9,9,9,10,9
544254,2011-04-29,N/A,FALSE,1,1,Niagara,Entire home/apt,1,2,1,850,144,6,TRUE,87,9,7,10,10,10,8
93825,2010-03-15,within an hour,TRUE,2,2,Briar Hill-Belgravia,Private room,1,1,1,NA,62,88,TRUE,92,9,10,10,10,9,9
511506,2011-04-15,within a day,TRUE,1,1,Niagara,Entire home/apt,2,5,3,1400,239,121,TRUE,99,10,10,10,10,10,10
349172,2011-01-16,within an hour,FALSE,1,1,South Riverdale,Entire home/apt,2,6,2,0,175,18,TRUE,98,10,10,10,10,9,10
455397,2011-03-21,N/A,FALSE,1,1,Annex,Entire home/apt,1,2,1,NA,160,6,TRUE,100,10,10,10,10,10,10
575127,2011-05-10,N/A,FALSE,3,3,High Park North,Entire home/apt,1,2,1,NA,64,12,TRUE,98,9,9,10,10,10,10
576192,2011-05-10,within a few hours,TRUE,1,1,Waterfront Communities-The Island,Entire home/apt,1,2,1,NA,105,34,TRUE,91,9,9,9,9,10,10
174063,2010-07-20,within an hour,TRUE,3,3,South Parkdale,Entire home/apt,1,3,1,NA,125,78,TRUE,96,10,10,10,10,9,10
613837,2011-05-22,N/A,FALSE,1,1,Danforth East York,Entire home/apt,1,3,1,NA,89,107,TRUE,95,10,10,10,10,9,10
604233,2011-05-19,N/A,FALSE,2,2,Niagara,Entire home/apt,1,2,1,550,68,5,TRUE,90,9,8,9,8,10,9
149566,2010-06-22,within a day,FALSE,3,3,Palmerston-Little Italy,Entire home/apt,1.5,6,3,0,350,10,TRUE,95,9,9,9,10,10,9
676621,2011-06-07,N/A,FALSE,1,1,Little Portugal,Entire home/apt,1,4,3,0,180,5,TRUE,100,10,9,10,10,10,8
436139,2011-03-11,N/A,FALSE,1,1,Waterfront Communities-The Island,Entire home/apt,1,3,1,NA,121,7,TRUE,97,10,9,10,9,10,9
718884,2011-06-19,within a day,FALSE,2,2,Waterfront Communities-The Island,Private room,1,1,1,NA,80,26,TRUE,98,9,9,10,10,10,9
666759,2011-06-05,within an hour,FALSE,1,1,High Park-Swansea,Entire home/apt,1,2,1,0,80,33,TRUE,98,10,10,10,10,10,10
735795,2011-06-23,within an hour,FALSE,1,1,Waterfront Communities-The Island,Entire home/apt,2,4,2,1100,199,51,TRUE,90,9,8,9,9,10,9
857989,2011-07-23,N/A,FALSE,1,1,Downsview-Roding-CFB,Private room,1,2,1,NA,80,16,TRUE,98,10,10,10,10,10,10
591649,2011-05-15,within a few hours,FALSE,2,2,Humewood-Cedarvale,Entire home/apt,1,2,1,600,80,23,TRUE,92,9,9,10,10,10,9
880070,2011-07-27,within a day,FALSE,1,1,The Beaches,Entire home/apt,1.5,4,2,1496,180,9,TRUE,100,10,10,10,10,10,10
656777,2011-06-02,within an hour,TRUE,5,5,Church-Yonge Corridor,Entire home/apt,1,4,2,NA,199,60,TRUE,98,10,10,10,10,10,10
140602,2010-06-08,within an hour,FALSE,0,0,South Parkdale,Entire home/apt,1,2,1,NA,235,54,TRUE,96,10,10,10,10,10,9
533496,2011-04-25,within a few hours,FALSE,2,2,Junction Area,Entire home/apt,1,3,2,0,115,106,TRUE,98,10,10,10,10,10,10
957466,2011-08-11,within a few hours,FALSE,1,1,Oakridge,Entire home/apt,1,2,1,NA,80,15,TRUE,99,10,10,10,10,10,10
992557,2011-08-19,a few days or more,FALSE,0,0,Wychwood,Entire home/apt,1,6,3,NA,199,21,TRUE,92,9,9,9,10,10,9
1015926,2011-08-24,within an hour,FALSE,3,3,Stonegate-Queensway,Private room,1,2,1,0,68,27,TRUE,96,10,10,10,10,9,9
1019538,2011-08-25,within a day,FALSE,2,2,Little Portugal,Entire home/apt,2,4,2,NA,251,17,TRUE,94,10,9,10,10,9,9
