urban,geo1_ca2011,age,sex,marst,nativity,citizen,yrsimm,edattain,labforce,occisco,hrswork1,inctot,incearn
urban,quebec,19,female,single/never married,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",service workers and shop and market sales,20 hours,8700,7900
rural,newfoundland and labrador,29,female,separated/divorced/spouse absent,native-born,citizen by birth,niu (not in universe),secondary completed,"no, not in the labor force",niu (not in universe),0 hours,23000,0
urban,quebec,76,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"no, not in the labor force",niu (not in universe),0 hours,9900,0
urban,british columbia,23,male,single/never married,native-born,citizen by birth,niu (not in universe),university completed,"no, not in the labor force",niu (not in universe),0 hours,2400,0
urban,quebec,22,male,married/in union,foreign-born,not a citizen,8,secondary completed,"yes, in the labor force",professionals,40 hours,39200,39200
rural,quebec,56,female,married/in union,native-born,citizen by birth,niu (not in universe),university completed,"yes, in the labor force","legislators, senior officials and managers",45 hours,25400,0
urban,ontario,63,female,married/in union,foreign-born,naturalized citizen,41,secondary completed,"no, not in the labor force",technicians and associate professionals,0 hours,36900,36500
urban,ontario,45,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",technicians and associate professionals,40 hours,23500,20100
urban,manitoba,21,male,single/never married,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",service workers and shop and market sales,0 hours,25500,18600
urban,british columbia,59,male,married/in union,native-born,citizen by birth,niu (not in universe),university completed,"yes, in the labor force",technicians and associate professionals,70 hours,72200,67800
urban,quebec,21,female,single/never married,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",technicians and associate professionals,30 hours,38300,38200
urban,ontario,37,female,married/in union,foreign-born,naturalized citizen,23,secondary completed,"yes, in the labor force",professionals,38 hours,53700,51000
urban,ontario,56,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",technicians and associate professionals,45 hours,145600,119400
rural,ontario,24,female,single/never married,native-born,citizen by birth,niu (not in universe),university completed,"yes, in the labor force","legislators, senior officials and managers",20 hours,11400,10300
urban,ontario,29,female,married/in union,foreign-born,naturalized citizen,8,university completed,"yes, in the labor force",professionals,32 hours,600,600
urban,ontario,25,male,single/never married,foreign-born,naturalized citizen,8,university completed,"yes, in the labor force",professionals,40 hours,30800,22700
rural,alberta,21,male,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",plant and machine operators and assemblers,40 hours,500,0
urban,ontario,66,male,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"no, not in the labor force",niu (not in universe),0 hours,44700,200
urban,ontario,30,male,married/in union,native-born,citizen by birth,niu (not in universe),university completed,"yes, in the labor force",professionals,37 hours,66000,65100
urban,nova scotia,23,male,single/never married,native-born,citizen by birth,niu (not in universe),university completed,"no, not in the labor force",niu (not in universe),0 hours,400,0
urban,quebec,71,male,married/in union,native-born,citizen by birth,niu (not in universe),less than primary completed,"no, not in the labor force",niu (not in universe),0 hours,14400,0
urban,new brunswick,38,female,married/in union,native-born,citizen by birth,niu (not in universe),university completed,"yes, in the labor force","legislators, senior officials and managers",0 hours,53000,37100
rural,ontario,61,male,married/in union,foreign-born,naturalized citizen,41,secondary completed,"yes, in the labor force",service workers and shop and market sales,20 hours,33800,10400
urban,newfoundland and labrador,22,female,single/never married,native-born,citizen by birth,niu (not in universe),less than primary completed,"no, not in the labor force",service workers and shop and market sales,0 hours,10300,0
urban,nova scotia,77,female,single/never married,native-born,citizen by birth,niu (not in universe),secondary completed,"no, not in the labor force",niu (not in universe),0 hours,33200,0
urban,british columbia,52,female,married/in union,foreign-born,naturalized citizen,33,secondary completed,"yes, in the labor force",skilled agricultural and fishery workers,56 hours,38500,30600
urban,quebec,30,male,single/never married,native-born,citizen by birth,niu (not in universe),university completed,"yes, in the labor force",service workers and shop and market sales,25 hours,7700,6500
urban,ontario,52,male,separated/divorced/spouse absent,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",service workers and shop and market sales,40 hours,52800,47500
rural,ontario,44,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",elementary occupations,20 hours,5200,0
urban,ontario,81,male,married/in union,native-born,citizen by birth,niu (not in universe),university completed,"no, not in the labor force",niu (not in universe),0 hours,42000,0
rural,ontario,44,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",clerks,40 hours,48200,47800
rural,ontario,31,female,married/in union,native-born,citizen by birth,niu (not in universe),less than primary completed,"yes, in the labor force",elementary occupations,72 hours,16800,7300
urban,ontario,24,female,single/never married,foreign-born,naturalized citizen,13,university completed,"yes, in the labor force",professionals,40 hours,1200,600
urban,nova scotia,61,male,married/in union,foreign-born,naturalized citizen,18,secondary completed,"yes, in the labor force",crafts and related trades workers,70 hours,800,0
urban,ontario,56,male,married/in union,native-born,citizen by birth,niu (not in universe),university completed,"yes, in the labor force","legislators, senior officials and managers",60 hours,173700,173700
rural,ontario,85,female,widowed,foreign-born,naturalized citizen,41,secondary completed,"no, not in the labor force",niu (not in universe),0 hours,21100,0
urban,quebec,19,male,single/never married,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",service workers and shop and market sales,20 hours,13500,11700
urban,quebec,35,male,single/never married,native-born,citizen by birth,niu (not in universe),less than primary completed,"no, not in the labor force",niu (not in universe),0 hours,10500,0
urban,alberta,22,female,single/never married,foreign-born,not a citizen,18,less than primary completed,"yes, in the labor force",service workers and shop and market sales,38 hours,38300,38200
urban,ontario,23,female,single/never married,foreign-born,naturalized citizen,13,university completed,"yes, in the labor force",professionals,40 hours,17600,16100
urban,ontario,30,male,married/in union,native-born,citizen by birth,niu (not in universe),university completed,"yes, in the labor force",professionals,40 hours,96400,95700
urban,british columbia,48,female,single/never married,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",technicians and associate professionals,0 hours,63600,63600
urban,alberta,16,male,single/never married,native-born,citizen by birth,niu (not in universe),less than primary completed,"yes, in the labor force",service workers and shop and market sales,40 hours,4600,4600
urban,quebec,20,female,single/never married,native-born,citizen by birth,niu (not in universe),less than primary completed,"no, not in the labor force",niu (not in universe),0 hours,6100,0
urban,nova scotia,36,female,married/in union,native-born,citizen by birth,niu (not in universe),university completed,"yes, in the labor force",professionals,0 hours,52700,48900
urban,ontario,58,female,widowed,native-born,citizen by birth,niu (not in universe),less than primary completed,"no, not in the labor force",service workers and shop and market sales,0 hours,19800,1200
urban,ontario,23,female,single/never married,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",technicians and associate professionals,30 hours,15000,13800
urban,alberta,27,female,married/in union,foreign-born,naturalized citizen,8,secondary completed,"no, not in the labor force",niu (not in universe),0 hours,8600,0
rural,nova scotia,38,male,married/in union,native-born,citizen by birth,niu (not in universe),university completed,"yes, in the labor force",professionals,40 hours,100700,0
