date,time,day,station,code,min_delay,min_gap,bound,line,vehicle,code_desc
2019-01-01T00:00:00Z,01:08:00,Tuesday,YORK MILLS,PUSI,0,0,S,YU,5766,Signals or Related Components Failure
2019-01-01T00:00:00Z,02:14:00,Tuesday,ST ANDREW,PUMST,0,0,NA,YU,0,Station Stairway Incident
2019-01-01T00:00:00Z,02:16:00,Tuesday,JANE,TUSC,0,0,W,BD,5117,Operator Overspeeding
2019-01-01T00:00:00Z,02:27:00,Tuesday,BLOOR,SUO,0,0,N,YU,5436,Passenger Other
2019-01-01T00:00:00Z,03:03:00,Tuesday,DUPONT,MUATC,11,16,N,YU,6061,ATC Project
2019-01-01T00:00:00Z,03:08:00,Tuesday,EGLINTON WEST,EUATC,11,16,S,YU,5656,ATC RC&S Equipment
2019-01-01T00:00:00Z,03:09:00,Tuesday,DUPONT,EUATC,6,11,N,YU,5381,ATC RC&S Equipment
2019-01-01T00:00:00Z,03:26:00,Tuesday,ST CLAIR WEST,EUATC,4,9,N,YU,5571,ATC RC&S Equipment
2019-01-01T00:00:00Z,03:37:00,Tuesday,KENNEDY BD,TUMVS,0,0,E,BD,5022,Operator Violated Signal
2019-01-01T00:00:00Z,08:04:00,Tuesday,DAVISVILLE,MUNOA,5,10,S,YU,0,No Operator Immediately Available - Not E.S.A. Related
2019-01-01T00:00:00Z,08:07:00,Tuesday,KEELE,MUESA,5,10,W,BD,0,No Operator Immediately Available
2019-01-01T00:00:00Z,08:09:00,Tuesday,DONLANDS,MUESA,5,10,W,BD,0,No Operator Immediately Available
2019-01-01T00:00:00Z,08:09:00,Tuesday,KIPLING,MUESA,5,10,E,BD,0,No Operator Immediately Available
2019-01-01T00:00:00Z,08:18:00,Tuesday,DONLANDS,MUESA,5,10,W,BD,0,No Operator Immediately Available
2019-01-01T00:00:00Z,08:18:00,Tuesday,DONLANDS,MUESA,5,10,W,BD,0,No Operator Immediately Available
2019-01-01T00:00:00Z,08:19:00,Tuesday,KENNEDY BD,MUESA,5,10,W,BD,0,No Operator Immediately Available
